FD,FDH,PH,JJS,JCX,JYJ,JYC,JYK,HQSX,SJC,HXC,SHS,HYC,MC,,,,
66,29,70,50,0.53,43,18.3,0.9,33,3,24.3,42,0.3,7.3,,,,
73,36,87,30,0.43,62,21.3,0.9,23,6.7,19,35,0.3,5.3,,,,
88,51,66,50,0.33,37,19.8,1,0,6.5,22.2,30,0.37,5.8,,,,
70,33,89,35,0.43,42,18.8,0.6,0,5,17.5,14,0.31,4.5,,,,
64,27,85,40,0.47,70,17.3,0.8,23,6,18,27,0.34,5,,,,
63,26,85,40,0.5,45,18.2,1,28,6,20.5,48,0.3,5.3,,,,
72,35,86,45,0.5,47,19.3,1,20,6.8,19.3,40,0.31,4.3,,,,
85,48,89,40,0.43,68,19.7,0.8,22,6.7,23.3,36,0.31,5.7,,,,
68,31,86,60,0.43,68,23.5,1.1,17,3.3,24.7,52,0.25,7.7,,,,
69,32,88,55,0.37,75,21.7,0.9,0,4.2,19.3,34,0.28,5.7,,,,
76,39,81,50,0.5,52,20.8,0.9,28,6.7,21,39,0.32,4.8,,,,
70,33,82,35,0.4,33,17.5,0.9,0,3.5,18.8,28,0.32,4.7,,,,
65,28,96,35,0.43,42,19.3,1,0,6.8,22,34,0.33,6.2,,,,
68,31,91,50,0.53,77,26,0,22,3.3,20.3,46,0.31,5.2,,,,
73,36,75,60,0.5,70,23.2,1.1,22,6.5,21.7,57,0.33,8.5,,,,
88,51,90,40,0.47,53,21.2,1,0,7.5,19.8,37,0.28,6,,,,
73,36,63,50,0.47,43,21.2,1.2,0,2.8,16.7,43,0.25,5,,,,
79,42,82,25,0.4,37,20.3,0.9,0,7.3,19.3,30,0.35,7.3,,,,
87,50,91,40,0.43,80,26,1.1,28,5,23.7,60,0.3,6.3,,,,
70,33,82,30,0.43,43,19.5,0.9,0,4.3,16.8,33,0.33,4.2,,,,
73,36,96,45,0.47,63,20.5,0.9,25,4.3,17.5,40,0.28,4.2,,,,
66,29,91,25,0.4,38,20.7,0.8,28,3.8,20.5,35,0.3,4.7,,,,
81,44,76,30,0.37,32,14,0.7,0,5.8,14.7,21,0.25,3.8,,,,
69,32,97,50,0.43,67,26.2,1.1,27,6,19,60,0.31,4.8,,,,
73,36,94,35,0.4,55,18,0.9,0,6.3,21.7,27,0.34,4,,,,
65,28,95,50,0.47,87,23,1.2,27,5.7,21.7,60,0.23,4.3,,,,
63,26,89,35,0.43,53,23.3,0.8,15,5.5,18.8,33,0.31,7.2,,,,
105,68,88,60,0.43,68,27.2,0.9,27,4.2,24.7,51,0.33,6.5,,,,
69,32,97,45,0.4,88,16.7,0.9,0,8.2,16.7,19,0.28,4.8,,,,
66,29,82,50,0.47,62,21,0.8,0,3.8,20.5,29,0.34,7.5,,,,
63,26,104,30,0.5,48,20.8,1,30,11.2,23.7,41,0.3,6.5,,,,
79,42,91,30,0.33,60,17.7,0.9,0,6.7,22.3,36,0.31,7.3,,,,
97,60,87,35,0.37,52,16.2,0.8,32,8.7,21.7,35,0.4,5.7,,,,
71,34,76,40,0.43,75,17.3,0.9,0,3.5,20.2,32,0.3,4.2,,,,
70,33,73,40,0.43,43,22.8,0.9,27,4.3,20.8,36,0.31,6.3,,,,
68,31,91,40,0.5,48,23.2,1,27,6.8,21.2,53,0.3,5.3,,,,
